department,first_name,last_name,rmp_score,num_reviews,profile_url
Mathematics,Justin,Keltz,4.0,1,https://ucsbplat.com/instructor/VGVhY2hlci0yMzUxNjU2
Mathematics,Timothy,Speer,1.0,1,https://ucsbplat.com/instructor/VGVhY2hlci0xOTk0MDgx
Mathematics,Tikal,Catena,1.0,1,https://ucsbplat.com/instructor/VGVhY2hlci0zMTE0ODIy
Mathematics,Dorde,Nikolic,5.0,1,https://ucsbplat.com/instructor/VGVhY2hlci0zMDI5MDcw
Mathematics,Ricky,Lee,5.0,1,https://ucsbplat.com/instructor/VGVhY2hlci0zMDMwNjY4
Mathematics,Sheri,Tamagawa,4.0,1,https://ucsbplat.com/instructor/VGVhY2hlci0yMzkzNzUx
Mathematics,Keith,Thompson,4.5,1,https://ucsbplat.com/instructor/VGVhY2hlci0xNTE5MzM4
Mathematics,Raj,Solanki,5.0,1,https://ucsbplat.com/instructor/VGVhY2hlci0xOTI0NDcx
Mathematics,Espa,Martinez,5.0,1,https://ucsbplat.com/instructor/VGVhY2hlci0yMTYzMjMw
Mathematics,Stephen,Paul,5.0,1,https://ucsbplat.com/instructor/VGVhY2hlci0yMjQ0OTM3
Mathematics,Aacutekos,Nagy,5.0,1,https://ucsbplat.com/instructor/VGVhY2hlci0yNzgwODQy
Mathematics,Grace,Kennedy,2.5,1,https://ucsbplat.com/instructor/VGVhY2hlci0xNjE4NjI3
Mathematics,Lan,Liu,5.0,1,https://ucsbplat.com/instructor/VGVhY2hlci0yMTYzMTE5
Mathematics,Michael,Zshornack,5.0,1,https://ucsbplat.com/instructor/VGVhY2hlci0yOTMwMjc3
Mathematics,Jeffrey,Case,1.5,1,https://ucsbplat.com/instructor/VGVhY2hlci0xMzEyMjg2
Mathematics,Glen,Frost,5.0,1,https://ucsbplat.com/instructor/VGVhY2hlci0yNDAzNzQ1
Mathematics,Robert,Ream,4.5,1,https://ucsbplat.com/instructor/VGVhY2hlci0xNTk2MTc2
Mathematics,Carmen,Galaz-Garcia,5.0,1,https://ucsbplat.com/instructor/VGVhY2hlci0yNjgwNzk3
Mathematics,Brent,Albrecht,3.0,1,https://ucsbplat.com/instructor/VGVhY2hlci0xNzQ3ODUy
Mathematics,Matthias,Wink,5.0,1,https://ucsbplat.com/instructor/VGVhY2hlci0zMDgzODg0
Mathematics,Joseph,Ricci,5.0,1,https://ucsbplat.com/instructor/VGVhY2hlci0yMDM0MTI1
Mathematics,Ian,Duncan,0.0,0,https://ucsbplat.com/instructor/VGVhY2hlci0yNjgyMDM2
Mathematics,Kwang-Ting,Cheng,0.0,0,https://ucsbplat.com/instructor/VGVhY2hlci0yMzkzNDA5
Mathematics,Laura,Zirbel,0.0,0,https://ucsbplat.com/instructor/VGVhY2hlci0xNzUwNTMy
Mathematics,Tommy,Xu,0.0,0,https://ucsbplat.com/instructor/VGVhY2hlci0yNzY4MjU5
Mathematics,Kyle,Mylonakis,0.0,0,https://ucsbplat.com/instructor/VGVhY2hlci0yMDM5MjE0
Mathematics,John,Chapman,0.0,0,https://ucsbplat.com/instructor/VGVhY2hlci0yMDQzNjgw
Mathematics,Lindsey,Breeden,0.0,0,https://ucsbplat.com/instructor/VGVhY2hlci0xNjQzNTI3
Mathematics,Herman,Fonseca,0.0,0,https://ucsbplat.com/instructor/VGVhY2hlci0yNDUzOTM3
Mathematics,Malik,Tuerkoen,0.0,0,https://ucsbplat.com/instructor/VGVhY2hlci0yOTI5Njk3
Mathematics,Garrett,Johnson,0.0,0,https://ucsbplat.com/instructor/VGVhY2hlci0xNDgzMzUy
Mathematics,Odog,Time,0.0,0,https://ucsbplat.com/instructor/VGVhY2hlci0yOTA1MTMy
Mathematics,Ho,Guo,0.0,0,https://ucsbplat.com/instructor/VGVhY2hlci0yMDYyODIw
Mathematics,Jordan,Fisher,0.0,0,https://ucsbplat.com/instructor/VGVhY2hlci0xMzIxMDUy
Mathematics,James,Kruidenier,0.0,0,https://ucsbplat.com/instructor/VGVhY2hlci0yNjk4NzA3
Mathematics,Jerry,Luo,0.0,0,https://ucsbplat.com/instructor/VGVhY2hlci0yMzg5NTM2
Mathematics,Jacob,Jaffe,0.0,0,https://ucsbplat.com/instructor/VGVhY2hlci0xMjg5NjUx
Mathematics,mathew,porter,0.0,0,https://ucsbplat.com/instructor/VGVhY2hlci0yNjI0NTYy
Mathematics,ken,miller,0.0,0,https://ucsbplat.com/instructor/VGVhY2hlci0xOTQzNTU5
Mathematics,Seth,Althauser,0.0,0,https://ucsbplat.com/instructor/VGVhY2hlci0yOTMzNzI5
Biology,Seng,Low,2.5,238,https://ucsbplat.com/instructor/VGVhY2hlci0xMjU2Nzc0
Biology,John,Latto,4.8,117,https://ucsbplat.com/instructor/VGVhY2hlci0xMjU0ODA3
Biology,Alice,Nguyen,1.2,83,https://ucsbplat.com/instructor/VGVhY2hlci0yMTA5NDc4
Biology,Mike,Wilton,5.0,61,https://ucsbplat.com/instructor/VGVhY2hlci0yMDc5NTYw
Biology,Olga,Azarenko,2.8,36,https://ucsbplat.com/instructor/VGVhY2hlci0yNjEyODc1
Biology,Pradeep,Joshi,2.0,28,https://ucsbplat.com/instructor/VGVhY2hlci0xOTg1ODE4
Biology,Anna,James,4.9,26,https://ucsbplat.com/instructor/VGVhY2hlci0yNjAxMzEz
Biology,Jennifer,Marsh,4.2,24,https://ucsbplat.com/instructor/VGVhY2hlci0yOTg3OTg5
Biology,Michael,Goard,4.3,22,https://ucsbplat.com/instructor/VGVhY2hlci0yNDYyMDk3
Biology,Julie,Simpson,3.6,16,https://ucsbplat.com/instructor/VGVhY2hlci0yMzU1NTcw
Biology,Denise,Montell,3.3,16,https://ucsbplat.com/instructor/VGVhY2hlci0xOTU3MTY4
Biology,Holly,Moeller,4.4,11,https://ucsbplat.com/instructor/VGVhY2hlci0yMzg2MTgy
Biology,Nino,Gonzalez,2.3,11,https://ucsbplat.com/instructor/VGVhY2hlci0yNDk2Nzg3
Biology,Jean-Marie,Volland,4.5,10,https://ucsbplat.com/instructor/VGVhY2hlci0zMDMyMTMx
Biology,Peggy,Cotter,2.6,9,https://ucsbplat.com/instructor/VGVhY2hlci0xMDgxMDUy
Biology,Jackie,Shay,5.0,8,https://ucsbplat.com/instructor/VGVhY2hlci0zMDIxNjg4
Biology,Max,Wilson,2.0,6,https://ucsbplat.com/instructor/VGVhY2hlci0zMDYwNTMz
Biology,Hillary,Young,2.8,6,https://ucsbplat.com/instructor/VGVhY2hlci0yNjEwMjcw
Biology,Petra,Kranzfelder,4.0,5,https://ucsbplat.com/instructor/VGVhY2hlci0yOTgyNjYw
Biology,Cherie,Briggs,4.2,5,https://ucsbplat.com/instructor/VGVhY2hlci0xODg0ODA4
